ID,Ages,Income,Credit_Score,Loan_Amount,State
775,65,74365,493,14873,Maharastra
776,42,54877,403,10975,Maharastra
777,39,52691,834,10538,Maharastra
778,30,77311,564,15462,Maharastra
779,76,45941,683,9188,Maharastra
780,36,68927,559,13785,Maharastra
781,66,51939,713,10387,Maharastra
782,53,55700,657,11140,Maharastra
783,29,31740,374,6348,Maharastra
784,78,42769,654,8553,Maharastra
785,58,29037,487,5807,Maharastra
786,36,48571,589,9714,Maharastra
787,29,55856,344,11171,Maharastra
788,26,33349,382,6669,Maharastra
789,24,80737,422,16147,Maharastra
790,45,54171,657,10834,Maharastra
791,31,50866,827,10173,Maharastra
792,48,61544,365,12308,Maharastra
793,69,37566,674,7513,Maharastra
794,36,52452,461,10490,Maharastra
795,75,39247,679,7849,Maharastra
796,64,73380,657,14676,Maharastra
797,33,34120,487,6824,Maharastra
798,70,50947,621,10189,Maharastra
799,22,54939,749,10987,Maharastra
800,52,55922,773,11184,Maharastra
801,29,41281,312,8256,Maharastra
802,42,36567,483,7313,Maharastra
803,69,41498,410,8299,Maharastra
804,76,57924,807,11584,Maharastra
805,38,47842,589,9568,Maharastra
806,53,61943,594,12388,Maharastra
807,70,57155,750,11431,Maharastra
808,40,15846,514,3169,Maharastra
809,33,53712,326,10742,Maharastra
810,74,83756,530,16751,Maharastra
811,56,69879,620,13975,Maharastra
812,62,56330,532,11266,Maharastra
813,70,34109,736,6821,Maharastra
814,59,57163,832,11432,Maharastra
815,75,61096,702,12219,Maharastra
816,56,46193,352,9238,Maharastra
817,31,54751,612,10950,Maharastra
818,48,72644,580,14528,Maharastra
819,75,37140,330,7428,Maharastra
820,22,34125,636,6825,Maharastra
821,52,60390,482,12078,Maharastra
822,40,56863,322,11372,Maharastra
823,46,65432,843,13086,Maharastra
824,60,58546,745,11709,Maharastra
825,28,41483,373,8296,Maharastra
826,35,56482,309,11296,Maharastra
827,64,32868,783,6573,Maharastra
828,29,46245,755,9249,Maharastra
829,26,57541,459,11508,Maharastra
830,27,44592,313,8918,Maharastra
831,75,87020,477,17404,Maharastra
832,61,21617,711,4323,Maharastra
833,34,41787,352,8357,Maharastra
834,78,35933,707,7186,Maharastra
835,55,39494,321,7898,Maharastra
836,24,40355,329,8071,Maharastra
837,63,30103,559,6020,Maharastra
838,30,61290,504,12258,Maharastra
839,57,41793,358,8358,Maharastra
840,59,52453,770,10490,Maharastra
841,26,43477,765,8695,Maharastra
842,67,39636,311,7927,Maharastra
843,44,75084,589,15016,Maharastra
844,75,63843,653,12768,Maharastra
845,19,21976,374,4395,Maharastra
846,22,20387,740,4077,Maharastra
847,46,65639,540,13127,Maharastra
848,54,42202,453,8440,Maharastra
849,55,25263,395,5052,Maharastra
850,36,65686,593,13137,Maharastra
851,25,52536,508,10507,Maharastra
852,65,53773,642,10754,Maharastra
853,62,62143,387,12428,Maharastra
854,18,30350,689,6070,Maharastra
855,39,25527,624,5105,Maharastra
856,69,73714,456,14742,Maharastra
857,34,28442,436,5688,Maharastra
858,24,31666,727,6333,Maharastra
859,42,34663,751,6932,Maharastra
860,62,81199,440,16239,Maharastra
861,21,57400,382,11480,Maharastra
862,53,64481,476,12896,Maharastra
863,23,52942,497,10588,Maharastra
864,77,40971,720,8194,Maharastra
865,48,59469,700,11893,Maharastra
866,36,26650,770,5330,Maharastra
867,78,33570,517,6714,Maharastra
868,61,60994,474,12198,Maharastra
869,71,29641,322,5928,Maharastra
870,56,47163,534,9432,Maharastra
871,44,47847,312,9569,Maharastra
872,27,42070,400,8414,Maharastra
873,43,20733,835,4146,Maharastra
874,36,40566,822,8113,Maharastra
875,56,37625,751,7525,Maharastra
876,79,52421,730,10484,Maharastra
877,20,51657,832,10331,Maharastra
878,62,55669,592,11133,Maharastra
879,30,39860,400,7972,Maharastra
880,67,57841,801,11568,Maharastra
881,45,26659,603,5331,Maharastra
882,79,22671,839,4534,Maharastra
883,75,14966,654,2993,Maharastra
884,37,42510,602,8502,Maharastra
885,45,38700,795,7740,Maharastra
886,25,61839,526,12367,Maharastra
887,78,40270,535,8054,Maharastra
888,58,54100,754,10820,Maharastra
889,56,62199,312,12439,Maharastra
890,18,39705,509,7941,Maharastra
891,20,54470,696,10894,Maharastra
892,30,65028,399,13005,Maharastra
893,45,31427,330,6285,Maharastra
894,79,50372,827,10074,Maharastra
895,74,39769,628,7953,Maharastra
896,77,32382,465,6476,Maharastra
897,66,26953,758,5390,Maharastra
898,42,32140,399,6428,Maharastra
899,73,50900,472,10180,Maharastra
900,50,25837,461,5167,Maharastra
901,55,41739,562,8347,Maharastra
902,70,62197,573,12439,Maharastra
903,23,56735,302,11347,Maharastra
904,75,42042,327,8408,Maharastra
905,61,75345,625,15069,Maharastra
906,62,78395,448,15679,Maharastra
907,49,50391,839,10078,Maharastra
908,62,12971,787,2594,Maharastra
909,78,63296,737,12659,Maharastra
910,64,15590,364,3118,Maharastra
911,38,72142,655,14428,Maharastra
912,33,66253,832,13250,Maharastra
913,71,76613,551,15322,Maharastra
914,38,53903,534,10780,Maharastra
915,28,44579,526,8915,Maharastra
916,77,43248,824,8649,Maharastra
917,54,41806,612,8361,Maharastra
918,53,64716,348,12943,Maharastra
919,52,60684,417,12136,Maharastra
920,36,51803,353,10360,Maharastra
921,37,39167,343,7833,Maharastra
922,74,89438,352,17887,Maharastra
923,35,63685,824,12737,Maharastra
924,64,26034,401,5206,Maharastra
925,58,42256,697,8451,Maharastra
926,66,63976,437,12795,Maharastra
927,31,38006,686,7601,Maharastra
928,32,55273,410,11054,Maharastra
929,48,64261,316,12852,Maharastra
930,18,-826,481,-165,Maharastra
931,70,48379,835,9675,Maharastra
932,71,48968,840,9793,Maharastra
933,71,43818,470,8763,Maharastra
934,20,54525,708,10905,Maharastra
935,33,59862,677,11972,Maharastra
936,40,52130,487,10426,Maharastra
937,74,44392,529,8878,Maharastra
938,28,59489,418,11897,Maharastra
939,29,50735,455,10147,Maharastra
940,27,46539,764,9307,Maharastra
941,49,30315,403,6063,Maharastra
942,33,26560,801,5312,Maharastra
943,25,30031,474,6006,Maharastra
944,55,54174,720,10834,Maharastra
945,29,48813,433,9762,Maharastra
946,41,27795,690,5559,Maharastra
947,45,59688,800,11937,Maharastra
948,70,70614,332,14122,Maharastra
949,25,41022,354,8204,Maharastra
950,75,23885,818,4777,Maharastra
951,45,39363,311,7872,Maharastra
952,53,62816,827,12563,Maharastra
953,43,58227,672,11645,Maharastra
954,25,36163,783,7232,Maharastra
955,75,72817,527,14563,Maharastra
956,77,70224,606,14044,Maharastra
957,67,39004,756,7800,Maharastra
958,45,38850,459,7770,Maharastra
959,45,41107,630,8221,Maharastra
960,54,42390,524,8478,Maharastra
961,58,64258,803,12851,Maharastra
962,53,56379,755,11275,Maharastra
963,44,63156,344,12631,Maharastra
964,71,60103,513,12020,Maharastra
965,34,75717,358,15143,Maharastra
966,26,34109,494,6821,Maharastra
967,50,55705,788,11141,Maharastra
968,70,17392,456,3478,Maharastra
969,37,30245,525,6049,Maharastra
970,30,48877,711,9775,Maharastra
971,45,56273,504,11254,Maharastra
972,65,48472,378,9694,Maharastra
973,46,41492,423,8298,Maharastra
974,30,44158,770,8831,Maharastra
975,63,70541,517,14108,Maharastra
976,52,44239,815,8847,Maharastra
977,78,76238,403,15247,Maharastra
978,23,61910,692,12382,Maharastra
979,35,56863,733,11372,Maharastra
980,68,32096,630,6419,Maharastra
981,22,64028,442,12805,Maharastra
982,64,42593,839,8518,Maharastra
983,42,32083,577,6416,Maharastra
984,19,57692,532,11538,Maharastra
985,27,29180,828,5836,Maharastra
986,73,38566,389,7713,Maharastra
987,47,49848,791,9969,Maharastra
988,67,83276,498,16655,Maharastra
989,76,39696,661,7939,Maharastra
990,62,43126,740,8625,Maharastra
991,22,60985,325,12197,Maharastra
992,72,31425,324,6285,Maharastra
993,73,56642,693,11328,Maharastra
994,50,68088,806,13617,Maharastra
995,71,45393,600,9078,Maharastra
996,18,65392,638,13078,Maharastra
997,35,54371,566,10874,Maharastra
998,49,39039,760,7807,Maharastra
999,64,47032,755,9406,Maharastra
1000,66,44303,659,8860,Maharastra
